"C001;Madame;CLEM@ENT;EVE;1;18;BOULEVARD FOCH;91000;EPINAY-SUR-ORGE;FRANCE;eve.clement@gmail.com;+33777889911;17/06/51;12/12/12;A+;VOYAGES, MANGAS, BASKETBALL, MUSIQUE, SUDOKU, INFORMATQUE, BASES DE DONNÉES, ENTREPÔTS DE DONNÉES, DATA, FOOTBALL"
"C002;Madame;LESEUL;M@RIE;1;17;AVENUE D ITALIE;75013;PARIS;FRANCE;marieleseul@yahoo.fr;0617586565;05/08/83;05/08/83;A+;NATATION, DESSIN, VOYAGES, BANDES DESSINEES"
"C003;Madame;UNIQUE;Inès;2;77;RUE DE LA LIBERTE;13001;MARCHEILLLE;FRANCE;munique@gmail.com;+33717889922;22/11/69;12/12/12;B+;CINEMA, FOOTBALL, YOGA, MANGAS, SUDOKU, BASKETBAL, ARTS MARTIAUX, HAUTE COUTURE"
"C004;Madame;CLEMENCE;EVELYNE;4;8 BIS;FOCH;93800;EPINAY-SUR-SEINE;FRANCE;clemence evelyne@gmail.com;+33777889933;;;B+;MANGAS, FOOTBALL , THEATRE, CINEMA, MUSIQUE, PLONGEE SOUS MARINE"
"C005;Madam;FORT;anne marie;3;55;RUE DU JAPON;94310;ORLY-VILLE;FRANCE;jfort\@hotmail.fr;+33777889944;11/11/00;;A-;BANDES DESSINEES, HANDBALL, MUSIQUE, MANGA, FOOT, BASKETBALL"
"C006;Mademoisele;LE BON;Clémence;1;18;BOULEVARD FOCH;93800;EPINAY-SUR-SEINE;FRANCE;clemence.le bon@cfo.fr;0033777889955;16/10/96;18/10/18;A+;PLONGEE SOUS MARINE, MANGAS, CINEMA, FOOTBALL, SUDOKU"
"C007;Mademoiselle;TRAIFOR;Alice;2;6;    DE LA ROSIERE;75015;PARIS;FRANCE;alice.traifor@yahoo.fr;+33777889966;23/02/98;;A+;BANDES DESSINEES, FOOTBALL , MUSIQUE, HANDBALL, VOYAGES, BANDES DESSINEES, FOOTBALL , MUSIQUE, HANDBALL, VOYAGES, FOOTBALL"
"C008;Monsieur;VIVANT;JEAN-BAPTISTE;1;13;RUE DE LA PAIX;93800;EPINAY-SUR-SEINE;FRANCE;jeanbaptiste@;0607;17/09/58;17/09/00;A+;HANDBALL, FOOTBALL, BASKETBALL, FOOTBALL"
"C009;Monsieur;CLEMENCE;Alexandre;1;5;Rue De Belleville;75019;PARIS;;alexandre.clemence@up13.fr;+33149404071;19/09/99;20/10/20;  ;BASKETBALL, BANDES DESSINEES, FOOTBALL , MUSIQUE, HANDBALL, VOYAGES, BANDES DESSINEES, FOOTBALL , MUSIQUE, HANDBALL, VOYAGES, FOOTBALL, BASKETBALL, INFORMATIQUE"
"C010;Monsieur;TRAIFOR;Alexandre;1;17;AVENUE FOCH;75016;PARIS;FRA;alexandre.traifor@up13.fr;06070809;17/07/67;17/09/00;B+;HANDBALL, THEATRE, VOYAGES, FOOTBALL"
"C011;Monsiieur;PREMIER;JOS//EPH;2;77//;RUE// DE LA LIBERTE;13001;MARCHEILLE;FRANCE;josef@premier;+33777889977;01/01/00;20/10/20;B+;VOYAGES, MANGAS, NOT ALLOWED"
"C012;Monsieur;CLEMENT;Adam;2;13;AVENUE JEAN BAPTISTE CLEMENT;9430;VILLETANEUSE;FRANCE;adam.clement@gmail.com;+33149404072;19/06/01;;B+;VOYAGES, FOOTBALL, BASKETBALL, MANGAS"
"C013;Monsieur;FORT;Gabriel;5;1;AVENUE DE CARTAGE;99000;TUNIS;TUNISIE;gabriel.fort@yahoo.fr;+21624801777;05/05/85;17/09/00;A+;PLONGEE SOUS MARINE, , NATATION, , CINEMA"
"C014;Monsieur;ADAM;ADAMO;5;1;AVENUE DE ROME;99001;ROME;ITALIE;adamo.adamé@gmail com;;12/12/00;20/10/20;AB+;FOOT, NATATION, MANGAS, CINEMA"
"C015;Monsieur;Labsent;pala;7;1;rue des absents;000;BAGDAD;IRAQ;pala-labsent@paici;;;;A+;FOOTBALL, NATATION, MANGAS, CINEMA"
"C016;Madame;obsolete;kadym;7;1;rue des anciens;000;CARTHAGE;IFRIQIA;inexistant;inexistant;;;A+;PARIS, SUDOKU, NOT AUTHORIZED"
"C017;Madame;RAHYM;Karym;1;1;RUE DES GENTILS;1000;CARTHAGE;TUNISIE;karym.rahym@gmail.com;+21624808444;01/01/90;05/01/21;AB+;PLONGEE SOUS MARINE, VOYAGES, FOOTBALL, CINEMA, SUDOKU, ARTS MARTIAUX, VOYAGES, MANGAS, BASKETBALL, MUSIQUE, "
"INFORMATIQUE, BASES DE DONNÉES, ENTREPÔTS DE DONNÉES, DATA CLEANING, FOOTBALL"
"C018;Madame;GENIE;ADAM;6;8;BOULEVARD FOCH;93800;EPINAY SUR SEINE;FRANCE;adam.génie@gmail.com;+33777889911;01/01/90;11/11/11;Ab+;FOOTBALL, BASKETBALL, NATATION, MANGAS, CINEMA"
"C019;Madame;GENIE;GENIALE;3;16;AVENUE FOCH;75016;PARIS;FRANCE;genialegenie@gmail.com;+33777889900;17/09/88;11/11/11;;BASKETBALL, FOOTBALL, INFORMATIQUE, DATA MANAGEMENT, MACHINE LEARNING"

